city,lat,lon,temp,cloud,wind speed,humidity,country
port hedland,-20.3167,118.5667,19.03,92,1.54,52,AU
nanortalik,60.1432,-45.2371,7.41,100,1.94,92,GL
chadiza,-14.0678,32.4392,11.88,0,1.97,82,ZM
cairns,-16.9167,145.7667,22.67,75,5.14,91,AU
pipri,19.8,75.5333,27.44,100,4.07,64,IN
valparaiso,-33.0393,-71.6273,10.82,0,1.54,83,CL
thinadhoo,0.5333,72.9333,28.4,96,5.33,74,MV
hamilton,39.1834,-84.5333,25.93,75,3.6,77,US
mayfield,36.7417,-88.6367,27.53,1,0.0,69,US
roebourne,-20.7833,117.1333,21.38,100,3.74,51,AU
idlib,35.9306,36.6339,22.66,0,2.82,86,SY
darhan,49.4867,105.9228,23.69,94,2.87,60,MN
esperance,-33.8667,121.9,14.38,4,10.45,70,AU
leningradskiy,69.3833,178.4167,6.47,100,6.33,95,RU
willmar,45.1219,-95.0433,19.82,75,4.12,89,US
brufut,13.3814,-16.7518,27.05,40,4.12,83,GM
umea,63.8284,20.2597,18.96,75,2.57,100,SE
san ignacio,17.1561,-89.0714,24.08,0,2.06,100,BZ
daigo,36.7667,140.35,22.98,100,1.23,89,JP
marzuq,14.4,46.4667,23.54,97,3.89,48,YE
naberera,-4.2,36.9333,11.14,19,2.43,93,TZ
piracuruca,-3.9281,-41.7092,25.66,84,3.02,71,BR
mackay,-21.15,149.2,21.49,79,6.57,79,AU
kalianget,-7.05,113.9333,27.16,81,3.76,65,ID
lavrentiya,65.5833,-171.0,11.1,76,5.33,69,RU
pangody,65.85,74.4859,12.46,100,4.1,54,RU
diffa,13.3154,12.6113,31.01,7,8.0,43,NE
anadyr,64.75,177.4833,10.0,75,4.92,76,RU
qixia,37.2975,120.8256,27.24,98,2.58,60,CN
adamovka,51.5223,59.9396,15.48,100,8.14,50,RU
whitehorse,60.7161,-135.0538,21.84,100,5.81,33,CA
asau,46.4333,26.4,17.72,0,2.24,98,RO
george,-33.963,22.4617,8.74,0,2.07,77,ZA
abong mbang,3.9833,13.1833,18.87,57,1.3,99,CM
mareeba,-17.0,145.4333,22.94,56,2.98,81,AU
russell,32.3502,-85.1999,22.42,40,0.0,93,US
nobres,-14.7203,-56.3275,21.78,0,1.42,35,BR
upata,8.0086,-62.3989,22.88,100,1.85,98,VE
campos,-21.75,-41.3,15.3,4,2.93,89,BR
balkanabat,39.5108,54.3671,28.12,1,2.47,58,TM
stornoway,58.2093,-6.3865,12.98,90,4.12,94,GB
novoilinsk,51.6829,108.7143,26.63,100,1.19,42,RU
kismayo,-0.3582,42.5454,24.53,10,7.69,79,SO
novosergiyevka,52.0934,53.6528,14.55,0,4.84,57,RU
bandarbeyla,9.4942,50.8122,26.0,31,12.48,72,SO
flinders,-34.5833,150.8552,13.8,8,0.73,54,AU
angoche,-16.2325,39.9086,21.67,76,3.8,61,MZ
yilan,24.757,121.753,30.92,32,1.76,69,TW
panaba,21.2833,-88.2667,27.25,32,5.34,76,MX
porto novo,6.4965,2.6036,24.45,25,2.43,90,BJ
conde,-7.2597,-34.9075,22.22,0,4.3,85,BR
aksay,47.26,39.87,19.81,94,3.13,93,RU
bemidji,47.4736,-94.8803,16.55,90,2.57,77,US
bryant,34.5959,-92.4891,29.43,41,1.42,89,US
leshukonskoye,64.8989,45.7622,17.67,100,1.92,63,RU
isiro,2.7739,27.616,18.13,100,0.48,96,CD
celestun,20.8667,-90.4,29.36,51,7.03,72,MX
kerema,-7.9631,145.7785,28.32,99,3.06,76,PG
kropotkin,45.4375,40.5756,18.32,97,2.3,83,RU
fenoarivo,-18.933,47.4354,13.04,75,2.57,94,MG
hervey bay,-25.2986,152.8535,17.86,99,6.14,72,AU
korla,41.7597,86.1469,32.18,81,3.0,21,CN
hit,33.6416,42.8251,31.6,0,1.25,20,IQ
jumla,29.2747,82.1838,18.06,70,0.75,83,NP
grindavik,63.8424,-22.4338,9.26,90,3.09,100,IS
ballina,-28.8667,153.5667,15.43,0,3.71,62,AU
shafranovo,53.9667,54.7667,10.86,20,2.89,79,RU
bulgan,48.8125,103.5347,21.62,6,1.36,61,MN
sao luiz gonzaga,-28.4083,-54.9608,14.97,4,4.01,79,BR
zhuanghe,39.7008,122.9911,23.95,100,2.34,74,CN
shebalino,51.2917,85.6772,20.78,100,1.91,65,RU
poum,-20.2333,164.0167,23.07,20,5.37,85,NC
chermoz,58.787,56.1489,12.56,3,0.62,76,RU
pangnirtung,66.1451,-65.7125,4.11,24,0.7,70,CA
wexford,52.3342,-6.4575,13.84,100,3.85,95,IE
kargasok,59.0556,80.8572,11.33,17,2.76,71,RU
mahalapye,-23.1041,26.8142,10.07,0,3.12,72,BW
sozimskiy,59.7418,52.2482,13.63,7,1.09,76,RU
solwezi,-12.1688,26.3894,9.67,0,1.67,69,ZM
guerrero negro,27.9769,-114.0611,20.42,100,8.59,80,MX
renqiu,38.6989,116.0936,30.48,80,1.29,52,CN
broome,42.2506,-75.833,21.9,1,1.54,94,US
waren,53.5167,12.6833,17.83,100,2.61,87,DE
manturovo,58.3353,44.7619,15.3,29,1.6,70,RU
honiara,-9.4333,159.95,30.04,24,3.46,70,SB
upington,-28.4478,21.2561,10.71,0,2.38,46,ZA
flin flon,54.7682,-101.865,19.28,0,1.95,25,CA
nieuw amsterdam,5.8833,-55.0833,26.68,6,2.67,87,SR
kasempa,-13.4584,25.8338,11.1,0,2.74,69,ZM
gravdal,68.1214,13.5031,16.16,100,2.6,71,NO
tulun,54.5611,100.5792,22.49,100,2.65,63,RU
wewak,-3.5534,143.6268,28.86,97,2.65,73,PG
garden city,42.3256,-83.331,25.84,75,0.0,77,US
zabol,32.25,67.25,21.85,0,1.79,43,AF
